Month,Cash P&L Sales,Accrual P&L Sales,App Invoice Subtotal,App Invoice Paid,App Invoice Balance,App Reconciliation Bill,App Reconciliation Cost,App Reconciliation Profit,App Reconciliation Hours,App Reconciliation Entry Count
2025-01,38548.00,17517.63,38548.00,38548.00,0.00,17517.63,16262.00,1255.63,186.00,55
2025-02,16652.00,16632.00,16652.00,16652.00,0.00,15732.00,14291.00,1441.00,171.00,48
2025-03,15732.00,24840.68,15732.00,15732.00,0.00,25290.68,19564.00,5726.68,210.00,60
2025-04,0.00,31159.67,0.00,0.00,0.00,32509.67,23793.00,8716.67,258.00,65
2025-05,21692.00,36237.80,21692.00,21692.00,0.00,36388.65,24776.00,11612.65,291.00,67
2025-06,23176.31,48702.53,23176.31,23176.31,0.00,46902.53,31285.50,15617.03,345.50,92
2025-07,22235.67,65914.52,22235.67,22235.67,0.00,65914.51,38909.25,27005.26,429.25,108
2025-08,38169.80,70363.73,38169.80,38169.80,0.00,68878.74,38219.00,30659.74,435.00,101
2025-09,3772.00,57863.54,3772.00,3772.00,0.00,60072.58,33459.50,26613.08,353.50,92
2025-10,78608.55,91000.19,78608.55,78608.55,0.00,98677.44,55098.00,43579.44,591.00,155
2025-11,736.00,77090.90,736.00,736.00,0.00,78122.38,44769.50,33352.88,478.00,118
2025-12,114309.79,55183.05,169492.84,114309.79,55183.05,46436.55,27770.00,18666.55,313.50,69
