period,entry_count,unique_users,unique_projects,unique_tasks,unique_subtasks,total_hours,bill_amount,cost_amount,profit_amount,orphan_user_refs,orphan_project_refs,orphan_task_refs,orphan_subtask_refs,zero_or_negative_rate_entries
2024-02,24,2,1,1,1,96.50,8878.00,9938.50,-1060.50,0,0,0,0,0
2024-03,35,2,1,1,1,209.50,19274.00,20949.50,-1675.50,0,0,0,0,0
2024-04,36,2,1,3,3,226.00,20792.00,21552.00,-760.00,0,0,0,0,0
2024-05,36,2,1,3,3,246.00,22632.00,23510.00,-878.00,0,0,0,0,0
2024-06,31,2,1,2,2,238.00,21896.00,22896.00,-1000.00,0,0,0,0,0
2024-07,37,2,1,2,2,270.00,24840.00,24694.00,146.00,0,0,0,0,0
2024-08,62,3,1,4,4,276.00,25392.00,26204.00,-812.00,0,0,0,0,0
2024-09,69,3,1,4,4,274.00,25208.00,21609.00,3599.00,0,0,0,0,0
2024-10,63,3,1,4,4,241.00,22172.00,19899.00,2273.00,0,0,0,0,0
2024-11,59,3,1,2,2,212.00,19504.00,17655.00,1849.00,0,0,0,0,0
2024-12,52,3,1,4,4,207.00,19044.00,17772.00,1272.00,0,0,0,0,0
2025-01,55,3,2,4,4,186.00,17517.63,16262.00,1255.63,0,0,0,0,0
2025-02,48,3,1,2,2,171.00,15732.00,14291.00,1441.00,0,0,0,0,0
2025-03,60,3,3,4,4,210.00,25290.68,19564.00,5726.68,0,0,0,0,0
2025-04,65,4,3,4,4,258.00,32509.67,23793.00,8716.67,0,0,0,0,0
2025-05,67,4,2,3,3,291.00,36388.65,24776.00,11612.65,0,0,0,0,0
2025-06,92,4,3,8,8,345.50,46902.53,31285.50,15617.03,0,0,0,0,0
2025-07,108,4,3,7,7,429.25,65914.51,38909.25,27005.26,0,0,0,0,0
2025-08,101,4,3,7,7,435.00,68878.74,38219.00,30659.74,0,0,0,0,0
2025-09,92,4,3,5,5,353.50,60072.58,33459.50,26613.08,0,0,0,0,0
2025-10,155,5,4,8,8,591.00,98677.44,55098.00,43579.44,0,0,0,0,0
2025-11,118,5,4,8,8,478.00,78122.38,44769.50,33352.88,0,0,0,0,0
2025-12,69,5,4,6,6,313.50,46436.55,27770.00,18666.55,0,0,0,0,0
2026-01,101,5,3,6,6,455.00,79752.44,37995.00,41757.44,0,0,0,0,0
2026-02,41,5,3,7,7,216.75,40304.49,18536.17,21768.32,0,0,0,0,0
