Date,Transaction ID,Account ID,Direction,Bank Amount,Net Withdrawal Effect,Cumulative Net Withdrawals,Category,Expense Group,Description
2025-01-02,Chase6611_Activity_20260220.CSV:1104,Chase6611_Activity_20260220,Business -> ...0273,-600.00,600.00,600.00,Transfer,Other,Online Transfer to CHK ...0273 transaction#: 23255674395 01/02
2025-01-06,Chase6611_Activity_20260220.CSV:1098,Chase6611_Activity_20260220,Business -> ...0273,-500.00,500.00,1100.00,Transfer,Other,Online Transfer to CHK ...0273 transaction#: 23289188041 01/06
2025-01-10,Chase6611_Activity_20260220.CSV:1092,Chase6611_Activity_20260220,Business -> ...0273,-300.00,300.00,1400.00,Transfer,Other,Online Transfer to CHK ...0273 transaction#: 23350422417 01/10
2025-01-10,Chase6611_Activity_20260220.CSV:1096,Chase6611_Activity_20260220,...0273 -> Business,1200.00,-1200.00,200.00,Transfer,Other,Online Transfer from CHK ...0273 transaction#: 23340585427
2025-01-17,Chase6611_Activity_20260220.CSV:1084,Chase6611_Activity_20260220,Business -> ...0273,-150.00,150.00,350.00,Transfer,Other,Online Transfer to CHK ...0273 transaction#: 23417994159 01/17
2025-01-21,Chase6611_Activity_20260220.CSV:1083,Chase6611_Activity_20260220,...0273 -> Business,100.00,-100.00,250.00,Transfer,Other,Online Transfer from CHK ...0273 transaction#: 23449335998
2025-01-23,Chase6611_Activity_20260220.CSV:1079,Chase6611_Activity_20260220,...0273 -> Business,100.00,-100.00,150.00,Transfer,Other,Online Transfer from CHK ...0273 transaction#: 23474282782
2025-01-24,Chase6611_Activity_20260220.CSV:1078,Chase6611_Activity_20260220,...0273 -> Business,1900.00,-1900.00,-1750.00,Transfer,Other,Online Transfer from CHK ...0273 transaction#: 23485639163
2025-01-27,Chase6611_Activity_20260220.CSV:1074,Chase6611_Activity_20260220,Business -> ...0273,-15000.00,15000.00,13250.00,Transfer,Other,Online Transfer to CHK ...0273 transaction#: 23517169705 01/27
2025-01-27,Chase6611_Activity_20260220.CSV:1075,Chase6611_Activity_20260220,Business -> ...0273,-2000.00,2000.00,15250.00,Transfer,Other,Online Transfer to CHK ...0273 transaction#: 23516426271 01/27
2025-01-28,Chase6611_Activity_20260220.CSV:1072,Chase6611_Activity_20260220,...0273 -> Business,3200.00,-3200.00,12050.00,Transfer,Other,Online Transfer from CHK ...0273 transaction#: 23526080863
2025-01-28,Chase6611_Activity_20260220.CSV:1073,Chase6611_Activity_20260220,...0273 -> Business,8000.00,-8000.00,4050.00,Transfer,Other,Online Transfer from CHK ...0273 transaction#: 23526093549
2025-01-31,Chase6611_Activity_20260220.CSV:1056,Chase6611_Activity_20260220,Business -> ...0273,-60.00,60.00,4110.00,Transfer,Other,Online Transfer to CHK ...0273 transaction#: 23565301881 01/31
